"code", "display", "parent"
"https://www.gov.uk/api/content/education/early-years-curriculum", "Early years curriculum", "https://www.gov.uk/api/content/education/school-curriculum"
"https://www.gov.uk/api/content/education/spiritual-moral-social-and-cultural-development", "Spiritual, moral, social and cultural development", "https://www.gov.uk/api/content/education/school-curriculum"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2", "Primary curriculum, key stage 2", "https://www.gov.uk/api/content/education/school-curriculum"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2-tests-and-assessments", "Tests and assessments (key stage 2)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2-english", "English (key stage 2)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2-science", "Science (key stage 2)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2-maths", "Maths (key stage 2)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2-programmes-of-study", "Programmes of study (key stage 2)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-2"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1", "Primary curriculum, key stage 1", "https://www.gov.uk/api/content/education/school-curriculum"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1-tests-and-assessments", "Tests and assessments (key stage 1)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1"
"https://www.gov.uk/api/content/education/phonics", "Phonics", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1-maths", "Maths (key stage 1)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1-science", "Science (key stage 1)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1"
"https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1-programmes-of-study", "Programmes of study (key stage 1)", "https://www.gov.uk/api/content/education/primary-curriculum-key-stage-1"
"https://www.gov.uk/api/content/education/exam-regulation-and-administration", "Exam regulation and administration", "https://www.gov.uk/api/content/education/school-curriculum"
